14837KMSN MSN20050501080512205/01/05 08:05:31  5-MIN KMSN 011405Z 29008KT 8SM SCT017 BKN040 OVC050  04/00 A2996 830 76 -200 280/08 RMK AO2 RAE00 P0000
14837KMSN MSN20050501081013805/01/05 08:10:31  5-MIN KMSN 011410Z 29007KT 260V330 8SM FEW017 BKN040  OVC050 04/00 A2995 830 76 -200 290/07 260V330 RMK AO2 RAE00 P0000
14837KMSN MSN20050501081512205/01/05 08:15:31  5-MIN KMSN 011415Z 31009KT 8SM FEW017 BKN040 OVC050  04/01 A2995 830 76 -200 310/09 RMK AO2 RAE00 P0000
14837KMSN MSN20050501082012205/01/05 08:20:31  5-MIN KMSN 011420Z 29008KT 8SM FEW017 BKN040 OVC095  04/00 A2996 830 73 -200 290/08 RMK AO2 RAE00 P0000
14837KMSN MSN20050501082512205/01/05 08:25:31  5-MIN KMSN 011425Z 31006KT 9SM FEW019 BKN040 OVC050  04/00 A2996 830 73 -200 310/06 RMK AO2 RAE00 P0000
14837KMSN MSN20050501083012205/01/05 08:30:31  5-MIN KMSN 011430Z 32008KT 8SM SCT019 BKN040 OVC050  04/00 A2996 830 73 -200 320/08 RMK AO2 RAE00 P0000
14837KMSN MSN20050501083512205/01/05 08:35:31  5-MIN KMSN 011435Z 30007KT 8SM BKN019 BKN027 OVC050  04/00 A2996 830 73 -200 300/07 RMK AO2 RAE00 P0000
14837KMSN MSN20050501084012205/01/05 08:40:31  5-MIN KMSN 011440Z 29009KT 8SM BKN019 BKN029 OVC040  04/00 A2996 830 73 -200 290/09 RMK AO2 RAE00 P0000
14837KMSN MSN20050501084512205/01/05 08:45:31  5-MIN KMSN 011445Z 31007KT 9SM SCT019 BKN031 OVC040  04/00 A2996 830 73 -200 300/07 RMK AO2 RAE00 P0000
14837KMSN MSN20050501085015305/01/05 08:50:31  5-MIN KMSN 011450Z VRB04KT 10SM BKN019 BKN024 OVC031  04/00 A2996 830 73 -200 VRB/04 RMK AO2 RAE00 SLP153 P0000 60000 T00440000  55001
14837KMSN MSN20050501085511905/01/05 08:55:31  5-MIN KMSN 011455Z 29009KT 260V320 8SM BKN019 OVC031  04/00 A2996 820 73 -200 290/09 260V320 RMK AO2
14837KMSN MSN20050501090012705/01/05 09:00:31  5-MIN KMSN 011500Z 28008KT 7SM -RA BKN019 BKN029 OVC034 04/00 A2996 820 76 -200 280/08 RMK AO2 RAB1457 P0000
14837KMSN MSN20050501090512105/01/05 09:05:31  5-MIN KMSN 011505Z 28007KT 6SM -RA BKN019 OVC031 04/01  A2996 820 79 -200 280/07 RMK AO2 RAB1457 P0000
14837KMSN MSN20050501091012705/01/05 09:10:31  5-MIN KMSN 011510Z 28008KT 6SM -RA BKN019 BKN034 BKN048 04/01 A2997 820 79 -200 280/08 RMK AO2 RAB1457 P0000
14837KMSN MSN20050501091512705/01/05 09:15:31  5-MIN KMSN 011515Z 27008KT 9SM SCT019 BKN034 BKN048  04/01 A2997 820 82 -200 260/08 RMK AO2 RAB1457E13 P0000
14837KMSN MSN20050501092011905/01/05 09:20:31  5-MIN KMSN 011520Z 29008KT 9SM SCT019 BKN048 04/01 A2997 820 79 -200 290/08 RMK AO2 RAB1457E13 P0000
14837KMSN MSN20050501092511905/01/05 09:25:31  5-MIN KMSN 011525Z 26006KT 9SM FEW016 OVC046 04/01 A2997 820 79 -200 260/06 RMK AO2 RAB1457E13 P0000
14837KMSN MSN20050501093013605/01/05 09:30:31  5-MIN KMSN 011530Z 26007KT 240V300 9SM FEW020 OVC046  04/01 A2997 820 82 -200 260/07 240V300 RMK AO2 RAB1457E13 P0000
14837KMSN MSN20050501093511905/01/05 09:35:31  5-MIN KMSN 011535Z 25007KT 9SM BKN046 OVC055 04/01 A2997 820 82 -200 250/07 RMK AO2 RAB1457E13 P0000
14837KMSN MSN20050501094011205/01/05 09:40:31  5-MIN KMSN 011540Z 28007KT 9SM OVC050 04/01 A2997 820 79 -200 280/07 RMK AO2 RAB1457E13 P0000
14837KMSN MSN20050501094511205/01/05 09:45:31  5-MIN KMSN 011545Z VRB06KT 9SM OVC050 04/01 A2997 820 79 -200 VRB/06 RMK AO2 RAB1457E13 P0000
14837KMSN MSN20050501095013605/01/05 09:50:31  5-MIN KMSN 011550Z 28007KT 9SM FEW016 OVC050 05/01 A2997 820 76 -100 280/07 RMK AO2 RAB1457E13 SLP155 P0000 T00500011
14837KMSN MSN20050501095511005/01/05 09:55:31  5-MIN KMSN 011555Z 28007KT 8SM FEW016 SCT020 OVC055  05/01 A2997 820 73 -100 280/07 RMK AO2
14837KMSN MSN20050501100010705/01/05 10:00:31  5-MIN KMSN 011600Z 29007KT 8SM SCT018 SCT025 OVC055  06/01 A2997 820 73 0 290/07 RMK AO2
14837KMSN MSN20050501100510705/01/05 10:05:31  5-MIN KMSN 011605Z VRB06KT 8SM SCT018 BKN032 OVC055  06/01 A2997 820 70 0 VRB/06 RMK AO2
14837KMSN MSN20050501101010705/01/05 10:10:31  5-MIN KMSN 011610Z 27005KT 9SM FEW018 BKN032 OVC055  06/00 A2997 820 67 0 270/05 RMK AO2
14837KMSN MSN20050501101510705/01/05 10:15:31  5-MIN KMSN 011615Z 27006KT 9SM SCT020 BKN029 BKN037  06/01 A2996 830 67 0 270/06 RMK AO2
14837KMSN MSN20050501102011405/01/05 10:20:31  5-MIN KMSN 011620Z 28010G16KT 9SM FEW020 BKN029 BKN037  06/M01 A2996 830 62 0 280/10G16 RMK AO2
14837KMSN MSN20050501102511605/01/05 10:25:31  5-MIN KMSN 011625Z VRB06G16KT 10SM FEW020 BKN029 OVC090 07/M01 A2996 830 60 100 VRB/06G16 RMK AO2
