14837KMSN MSN20050401064009704/01/05 06:40:31  5-MIN KMSN 011240Z 00000KT 6SM BR CLR 01/M01 A3010 700  89 -800 000/00 RMK AO2
14837KMSN MSN20050401064509704/01/05 06:45:31  5-MIN KMSN 011245Z 00000KT 6SM BR CLR 01/M01 A3010 700  89 -700 000/00 RMK AO2
14837KMSN MSN20050401065011404/01/05 06:50:31  5-MIN KMSN 011250Z 00000KT 6SM BR CLR 02/M01 A3010 700  85 -700 000/00 RMK AO2 SLP200 T00171006
14837KMSN MSN20050401065509504/01/05 06:55:31  5-MIN KMSN 011255Z 00000KT 6SM BR CLR 02/00 A3010 690 85 -600 000/00 RMK AO2
14837KMSN MSN20050401070009504/01/05 07:00:31  5-MIN KMSN 011300Z 00000KT 6SM BR CLR 02/00 A3010 700 85 -600 000/00 RMK AO2
14837KMSN MSN20050401070509304/01/05 07:05:31  5-MIN KMSN 011305Z 00000KT 7SM CLR 03/00 A3010 700 82  -500 000/00 RMK AO2
14837KMSN MSN20050401071009304/01/05 07:10:31  5-MIN KMSN 011310Z 00000KT 7SM CLR 03/01 A3010 700 85  -500 000/00 RMK AO2
14837KMSN MSN20050401071509304/01/05 07:15:31  5-MIN KMSN 011315Z 00000KT 7SM CLR 03/01 A3010 700 85  -500 000/00 RMK AO2
14837KMSN MSN20050401072009304/01/05 07:20:31  5-MIN KMSN 011320Z 00000KT 7SM CLR 03/01 A3010 700 85  -500 000/00 RMK AO2
14837KMSN MSN20050401072509304/01/05 07:25:31  5-MIN KMSN 011325Z 00000KT 7SM CLR 03/01 A3010 700 82  -500 000/00 RMK AO2
14837KMSN MSN20050401073009304/01/05 07:30:31  5-MIN KMSN 011330Z 00000KT 8SM CLR 03/01 A3010 700 85  -500 000/00 RMK AO2
14837KMSN MSN20050401073509304/01/05 07:35:31  5-MIN KMSN 011335Z 00000KT 8SM CLR 04/01 A3010 700 82  -400 000/00 RMK AO2
14837KMSN MSN20050401074009304/01/05 07:40:31  5-MIN KMSN 011340Z 00000KT 9SM CLR 04/01 A3010 700 82  -400 000/00 RMK AO2
14837KMSN MSN20050401074509304/01/05 07:45:31  5-MIN KMSN 011345Z 00000KT 9SM CLR 04/01 A3010 700 79  -300 000/00 RMK AO2
14837KMSN MSN20050401075011004/01/05 07:50:31  5-MIN KMSN 011350Z 00000KT 9SM CLR 04/01 A3010 700 79  -300 000/00 RMK AO2 SLP197 T00440011
14837KMSN MSN20050401075509304/01/05 07:55:31  5-MIN KMSN 011355Z 00000KT 9SM CLR 04/01 A3009 710 76  -300 000/00 RMK AO2
14837KMSN MSN20050401080009304/01/05 08:00:31  5-MIN KMSN 011400Z 00000KT 9SM CLR 05/01 A3009 710 76  -200 000/00 RMK AO2
14837KMSN MSN20050401080509404/01/05 08:05:31  5-MIN KMSN 011405Z 00000KT 10SM CLR 05/01 A3009 710 76  -200 000/00 RMK AO2
